"year","Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Track Name Unique"
"2022","spotify:track:6fCNwdojdA3mmZvNXdNb5L","Jackpot (The Jackpot Playlist Anthem)","Jackpot (The Jackpot Playlist Anthem)","The Straikerz","2022-02-18",143437,49,FALSE,NA,1970-01-01,"hardstyle,hardcore,frenchcore","Gearbox Digital",0.415,0.854,4,-0.287,0,0.52,0.137,1.95e-06,0.395,0.311,195.635,5,"Jackpot (The Jackpot Playlist Anthem)"
"2022","spotify:track:0V0FJBR8xhhMuirhRY15we","PACMAN","PACMAN","Hardwell","2022-06-10",232500,35,FALSE,NA,1970-01-01,"big room,edm,progressive house,electronica","Revealed Recordings",0.588,0.872,7,-7.133,1,0.0892,0.000591,0.649,0.12,0.119,127.996,4,"PACMAN"
"2022","spotify:track:2vmfvSoZBFAt9hhRoEByLi","Volví","Volví","Aventura;Bad Bunny","2021-08-03",230125,76,TRUE,NA,1970-01-01,"bachata,reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,4,"Volví"
"2022","spotify:track:1r9xUipOqoNwggBpENDsvJ","Enemy (with JID) - from the series Arcane League of Legends","Enemy (with JID) [from the series Arcane League of Legends]","Imagine Dragons;JID;Arcane;League of Legends","2021-10-28",173381,75,FALSE,NA,1970-01-01,"score","KIDinaKORNER/Interscope Records",0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4,"Enemy (with JID) - from the series Arcane League of Legends"
"2022","spotify:track:5YtjgewpB55VaDbGw45uqB","INDUSTRY BABY","INDUSTRY BABY 2.0","Lil Nas X;Jack Harlow","2021-10-09",212000,55,TRUE,NA,1970-01-01,NA,"Columbia",0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,4,"INDUSTRY BABY"
"2022","spotify:track:1Dr5JexwA15wmKe7Y7maA9","Past Lives","Dopamine","BØRNS","2015-10-16",274320,69,FALSE,NA,1970-01-01,NA,"UMGRI Interscope",0.743,0.685,4,-6.863,1,0.0975,0.0664,6.75e-05,0.0884,0.443,109.988,4,"Past Lives"
"2022","spotify:track:2tFwfmceQa1Y6nRPhYbEtC","CÓMO SE SIENTE - Remix","CÓMO SE SIENTE (Remix)","JHAYCO;Bad Bunny","2020-05-09",227520,80,TRUE,NA,1970-01-01,"reggaeton,trap latino,urbano latino,latin","N&E Entertainment LLC",0.807,0.606,3,-8.871,0,0.088,0.0946,0,0.119,0.304,92.988,4,"CÓMO SE SIENTE - Remix"
"2022","spotify:track:3JgyLoPdA0TLXsiDbx9jiH","Finish the Fight","Halo 3 (Original Soundtrack)","Halo;Martin O'Donnell;Michael Salvatori","2007-11-20",147786,48,FALSE,NA,1970-01-01,"soundtrack","Halo Studios",0.208,0.256,9,-13.38,1,0.0401,0.641,0.959,0.0893,0.0903,125.681,4,"Finish the Fight"
"2022","spotify:track:1MHYAqWWdDRePmnqORynrq","Kathleen","The Balcony","Catfish and the Bottlemen","2014-09-15",160886,65,FALSE,NA,1970-01-01,"indie,indie rock","Universal-Island Records Ltd.",0.489,0.892,11,-4.757,0,0.0786,0.000369,0.00293,0.411,0.598,137.93,4,"Kathleen"
"2022","spotify:track:0iUrxveyNUBfj0cqjYEijt","NEON BLADE","NEON BLADE","MoonDeity","2022-06-01",265263,66,TRUE,NA,1970-01-01,"phonk,drift phonk","MoonDeity",0.548,0.996,7,-2.169,1,0.112,0.0284,0.92,0.595,0.893,94.999,4,"NEON BLADE"
